region_1	region_2	n_pairs	RR	replicate_id
Senegal	Senegal	14	1	328
Senegal	Senegal	16	1	329
Senegal	Senegal	12	1	330
Senegal	Senegal	10	1	331
Senegal	Senegal	10	1	332
Senegal	Senegal	18	1	333
Senegal	Senegal	10	1	334
Senegal	Senegal	12	1	335
Senegal	Senegal	8	1	336
Senegal	Senegal	20	1	337
Senegal	Senegal	16	1	338
Senegal	Senegal	12	1	339
Senegal	Senegal	18	1	340
Senegal	Senegal	16	1	341
Senegal	Senegal	8	1	342
Senegal	Senegal	8	1	343
Senegal	Senegal	12	1	344
Senegal	Senegal	14	1	345
Senegal	Senegal	10	1	346
Senegal	Senegal	14	1	347
Senegal	Senegal	8	1	348
Senegal	Senegal	16	1	349
Senegal	Senegal	14	1	350
Senegal	Senegal	14	1	351
Senegal	Senegal	16	1	352
Senegal	Senegal	14	1	353
Senegal	Senegal	12	1	354
Senegal	Senegal	12	1	355
Senegal	Senegal	14	1	356
Senegal	Senegal	6	1	357
Senegal	Senegal	12	1	358
Senegal	Senegal	14	1	359
Senegal	Senegal	8	1	360
Senegal	Senegal	14	1	361
Senegal	Senegal	14	1	362
Senegal	Senegal	10	1	363
Senegal	Senegal	10	1	364
Senegal	Senegal	18	1	365
Senegal	Senegal	12	1	366
Senegal	Senegal	16	1	367
Senegal	Senegal	12	1	368
Senegal	Senegal	16	1	369
Senegal	Senegal	8	1	370
Senegal	Senegal	8	1	371
Senegal	Senegal	14	1	372
Senegal	Senegal	10	1	373
Senegal	Senegal	14	1	374
Senegal	Senegal	14	1	375
Senegal	Senegal	16	1	376
Senegal	Senegal	12	1	377
Senegal	Senegal	8	1	378
Senegal	Senegal	14	1	379
Senegal	Senegal	18	1	380
Senegal	Senegal	14	1	381
Senegal	Senegal	18	1	382
Senegal	Senegal	12	1	383
Senegal	Senegal	14	1	384
Senegal	Senegal	6	1	385
Senegal	Senegal	14	1	386
Senegal	Senegal	10	1	387
Senegal	Senegal	14	1	388
Senegal	Senegal	12	1	389
Senegal	Senegal	10	1	390
Senegal	Senegal	18	1	391
Senegal	Senegal	20	1	392
Senegal	Senegal	20	1	393
Senegal	Senegal	14	1	394
Senegal	Senegal	18	1	395
Senegal	Senegal	12	1	396
Senegal	Senegal	16	1	397
Senegal	Senegal	12	1	398
Senegal	Senegal	16	1	399
Senegal	Senegal	16	1	400
Senegal	Senegal	18	1	401
Senegal	Senegal	14	1	402
Senegal	Senegal	14	1	403
Senegal	Senegal	4	1	404
Senegal	Senegal	10	1	405
Senegal	Senegal	14	1	406
Senegal	Senegal	12	1	407
Senegal	Senegal	10	1	408
Senegal	Senegal	20	1	409
Senegal	Senegal	14	1	410
Senegal	Senegal	20	1	411
Senegal	Senegal	8	1	412
Senegal	Senegal	18	1	413
Senegal	Senegal	12	1	414
Senegal	Senegal	16	1	415
Senegal	Senegal	12	1	416
Senegal	Senegal	10	1	417
Senegal	Senegal	16	1	418
Senegal	Senegal	10	1	419
Senegal	Senegal	6	1	420
Senegal	Senegal	14	1	421
Senegal	Senegal	6	1	422
Senegal	Senegal	12	1	423
Senegal	Senegal	12	1	424
Senegal	Senegal	14	1	425
Senegal	Senegal	12	1	426
Senegal	Senegal	16	1	427
Senegal	Senegal	12	1	428
Senegal	Senegal	16	1	429
Senegal	Senegal	16	1	430
Senegal	Senegal	14	1	431
Senegal	Senegal	10	1	432
Senegal	Senegal	10	1	433
Senegal	Senegal	12	1	434
Senegal	Senegal	14	1	435
Senegal	Senegal	12	1	436
Senegal	Senegal	12	1	437
Senegal	Senegal	16	1	438
Senegal	Senegal	16	1	439
Senegal	Senegal	8	1	440
Senegal	Senegal	6	1	441
Senegal	Senegal	16	1	442
