node1,node2,length,startLon,startLat,endLon,endLat,startNodeL,endNodeL,startYear,endYear
67,68,0.483321316230194,-11.5464285714286,13.675,-11.4148148148148,13.6259259259259,4.16780876687913,3.20043959313754,2020.3907127937,2021.35808196744
68,69,0.716967235084248,-11.4148148148148,13.6259259259259,-14.3105263157895,14.1684210526316,3.20043959313754,2.67402973258644,2021.35808196744,2021.88449182799
69,70,0.163052360060632,-14.3105263157895,14.1684210526316,-14.3823529411765,14.2176470588235,2.67402973258644,2.5128000178556,2021.88449182799,2022.04572154272
70,71,0.701455372066628,-14.3823529411765,14.2176470588235,-14.2285714285714,14.05,2.5128000178556,2.09882065731685,2022.04572154272,2022.45970090326
71,72,0.323819021591537,-14.2285714285714,14.05,-14.05,14.0625,2.09882065731685,1.78556127808188,2022.45970090326,2022.77296028249
68,87,1.90561838950929,-11.4148148148148,13.6259259259259,-4.5375,12.3375,3.20043959313754,1.77886906113964,2021.35808196744,2022.77965249944
72,73,0.205705665676732,-14.05,14.0625,-14.3,14.2857142857143,1.78556127808188,1.57476193148039,2022.77296028249,2022.98375962909
87,91,0.0896899578025026,-4.5375,12.3375,-5.5,7.5,1.77886906113964,1.52218792885061,2022.77965249944,2023.03633363172
70,84,1.31183871247869,-14.3823529411765,14.2176470588235,-15.1,15,2.5128000178556,1.48857521207447,2022.04572154272,2023.0699463485
69,86,1.63190723741073,-14.3105263157895,14.1684210526316,-13.7,13.75,2.67402973258644,1.33561297815396,2021.88449182799,2023.22290858242
73,75,0.0945868597266233,-14.3,14.2857142857143,-14.54,14.5,1.57476193148039,1.31090147459867,2022.98375962909,2023.24762008598
71,79,0.659846004098951,-14.2285714285714,14.05,-14.4666666666667,14.0333333333333,2.09882065731685,1.29776484182737,2022.45970090326,2023.26075671875
91,92,0.423869776442796,-5.5,7.5,-5.5,7.5,1.52218792885061,1.26530932689434,2023.03633363172,2023.29321223368
84,85,0.0822594656967304,-15.1,15,-15.1,15,1.48857521207447,1.23380441006264,2023.0699463485,2023.32471715051
79,80,0.101368986628426,-14.4666666666667,14.0333333333333,-14.34,13.84,1.29776484182737,1.15881076069486,2023.26075671875,2023.39971079988
73,74,0.284523771775285,-14.3,14.2857142857143,-13.7,13.75,1.57476193148039,1.15426127879038,2022.98375962909,2023.40426028178
91,93,0.540455695188363,-5.5,7.5,-5.5,7.5,1.52218792885061,1.14872340814877,2023.03633363172,2023.40979815243
75,76,0.347257236541377,-14.54,14.5,-14.4,14.375,1.31090147459867,1.13164369990116,2023.24762008598,2023.42687786067
92,44,0.179157666894527,-5.5,7.5,-5.5,7.5,1.26530932689434,1.08615165999981,2023.29321223368,2023.47236990058
