Accession_ID	Genotype	Date	Host	Continent	Country	City	Longitude	Latitude
EPI_ISL_20153697	II-ECSA	2025-04-10	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153698	II-ECSA	2025-04-11	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153699	II-ECSA	2025-04-11	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153700	II-ECSA	2025-04-11	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153701	II-ECSA	2025-04-11	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153702	II-ECSA	2025-04-14	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153704	II-ECSA	2025-04-15	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153705	II-ECSA	2025-04-16	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153706	II-ECSA	2025-04-17	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153709	II-ECSA	2025-04-22	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153710	II-ECSA	2025-04-23	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153711	II-ECSA	2025-04-23	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153714	II-ECSA	2025-04-28	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153715	II-ECSA	2025-04-29	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153716	II-ECSA	2025-03-07	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153717	II-ECSA	2025-03-07	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153718	II-ECSA	2025-03-11	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
